COMMONNAME,Minimum age at encounter,Banding date,Banding region,Age at banding,Sex,Encounter date,Encounter region,How bird and band were obtained,Condition of bird/band at encounter
American Redstart,10 years 00 months,9/7/1964,Maryland,Hatching Year,Male,06/99/1974,Maine,Caught by or due to: dog,Unknown/Removed
Kirtland's Warbler,9 years 00 months,6/17/1941,Michigan,After Hatching Year,Male,6/11/1949,Michigan,Previously banded bird trapped and released during banding operations,Unknown/Unknown
Cape May Warbler,4 years 03 months,5/15/1975,Ohio,After Hatching Year,Female,9/27/1978,Québec,Caught by or due to: cat,Dead/Removed
Northern Parula,5 years 11 months,5/5/2010,Maryland,After Second Year,Female,5/5/2014,Maryland,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Northern Parula,5 years 10 months,1/20/2003,Jamaica and Cayman Islands,After Hatching Year,Unknown,4/10/2008,Jamaica and Cayman Islands,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Northern Parula,4 years 11 months,5/21/1975,Maryland,After Second Year,Female,5/9/1978,Maryland,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Magnolia Warbler,8 years 11 months,5/21/2005,Ontario,Second Year,Male,5/17/2013,Ontario,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Magnolia Warbler,8 years 00 months,7/13/1993,Ontario,Second Year,Female,6/11/2000,Ontario,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Magnolia Warbler,2 years 06 months,12/27/1971,Mexico,Unknown,Male,12/29/1973,Mexico,"Banding Mortality: due to trap, holding device, or handling.",Dead/Left On Bird
Bay-breasted Warbler,4 years 11 months,9/18/1987,Maryland,Hatching Year,Unknown,5/14/1992,Ontario,Found dead.,Dead/Removed
Bay-breasted Warbler,3 years 05 months,9/13/1982,Iowa,After Hatching Year,Female,11/4/1984,Panama,Caught due to: injury,Dead/Removed
Blackburnian Warbler,8 years 02 months,9/11/1976,Minnesota,Hatching Year,"Male, sexed upon recapture",8/3/1984,Minnesota,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Blackburnian Warbler,3 years 01 months,6/3/1979,Minnesota,After Hatching Year,Male,7/3/1981,Minnesota,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Yellow Warbler,11 years 00 months,6/11/2001,New York,After Hatching Year,Female,6/15/2011,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Yellow Warbler,10 years 11 months,5/15/1970,New York,After Hatching Year,Male,5/16/1980,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Yellow Warbler,9 years 11 months,8/15/1993,Colorado,After Hatching Year,Female,5/20/2002,Nebraska,Caught by or due to: cat,Dead/Removed
Yellow Warbler,9 years 11 months,5/26/1988,Ontario,Second Year,Female,5/25/1997,Ontario,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Yellow Warbler,9 years 00 months,7/3/1984,Iowa,After Hatching Year,Male,6/30/1992,Iowa,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Yellow Warbler,8 years 11 months,5/14/1966,Ontario,After Hatching Year,Male,5/4/1974,Ontario,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Yellow Warbler,7 years 02 months,5/23/1971,New York,After Hatching Year,Male,93/99/1977,New York,Found dead.,Dead/Removed
Chestnut-sided Warbler,6 years 11 months,8/31/1973,Rhode Island,Hatching Year,Unknown,5/20/1980,Rhode Island,Found dead.,Dead/Unknown
Blackpoll Warbler,8 years 01 months,8/2/1999,Alaska,After Hatching Year,Male,7/18/2006,Alaska,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Blackpoll Warbler,5 years 01 months,6/19/1994,Alaska,After Hatching Year,Male,7/8/1998,Alaska,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Blackpoll Warbler,4 years 03 months,9/20/1978,Massachusetts,After Hatching Year,Unknown,9/29/1981,Massachusetts,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Blackpoll Warbler,3 years 05 months,9/18/1963,Massachusetts,After Hatching Year,Female,11/4/1965,Rhode Island,Found dead.,Dead/Removed
Black-throated Blue Warbler,9 years 08 months,8/24/1975,New Jersey,Unknown,Female,02/99/1985,Panama,Shot.,Dead/Unknown
Black-throated Blue Warbler,8 years 00 months,9/19/1968,Maryland,Hatching Year,Female,06/99/1976,Cuba,Caught due to striking: stationary object other than wires or towers.,Unknown/Unknown
Pine Warbler,7 years 10 months,4/14/2006,Florida,After Hatching Year,Female,4/5/2013,Florida,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Pine Warbler,6 years 00 months,4/16/1926,Massachusetts,Unknown,Unknown,4/9/1932,Massachusetts,Previously banded bird trapped and released during banding operations,Unknown/Unknown
Myrtle Warbler,8 years 09 months,12/5/1982,Florida,After Hatching Year,Male,3/4/1990,Florida,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Myrtle Warbler,6 years 11 months,11/11/1965,Virginia,Unknown,Unknown,5/23/1972,West Virginia,Found dead.,Dead/Left On Bird
Audubon's Warbler,10 years 00 months,7/15/1998,Wyoming,After Second Year,Female,6/7/2006,Wyoming,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Yellow-throated Warbler,5 years 01 months,9/14/1981,Oklahoma,Unknown,Unknown,7/3/1986,Oklahoma,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Prairie Warbler,9 years 00 months,6/5/2008,New York,After Second Year,Male,6/3/2015,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Prairie Warbler,7 years 09 months,7/19/2006,Connecticut,Second Year,Male,9/12/2013,Connecticut,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Adelaide's Warbler,10 years 07 months,1/11/1992,Puerto Rico,After Hatching Year,Unknown,1/6/2002,Puerto Rico,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Townsend's Warbler,10 years 08 months,3/27/1993,California,After Second Year,Male,2/2/2002,California,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Townsend's Warbler,3 years 07 months,10/20/1974,California,Hatching Year,Female,1/17/1978,California,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Hermit Warbler,9 years 01 months,7/2/1998,California,Second Year,Female,7/17/2006,California,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Golden-cheeked Warbler,10 years 11 months,4/18/2006,Texas,After Second Year,Male,5/9/2015,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Golden-cheeked Warbler,8 years 11 months,4/18/2006,Texas,After Second Year,Male,5/14/2013,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Golden-cheeked Warbler,4 years 00 months,6/23/1993,Texas,Hatching Year,Unknown,6/5/1997,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Black-throated Green Warbler,4 years 11 months,5/17/2000,Nova Scotia,Second Year,Male,5/17/2004,Nova Scotia,Found dead.,Dead/Removed
Canada Warbler,8 years 00 months,6/29/1975,Québec,After Hatching Year,Male,6/14/1982,Québec,Caught due to striking: stationary object other than wires or towers.,Dead/Removed
Canada Warbler,7 years 11 months,6/28/1964,New York,After Hatching Year,Female,5/25/1971,Ohio,Found dead.,Dead/Removed
Wilson's Warbler,8 years 11 months,5/28/2000,California,After Hatching Year,Male,5/8/2008,California,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Wilson's Warbler,7 years 04 months,5/9/2000,Ohio,Second Year,Male,10/15/2006,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Wilson's Warbler,7 years 00 months,5/16/1993,California,After Hatching Year,Male,6/4/1999,California,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Wilson's Warbler,6 years 10 months,5/11/1967,California,After Hatching Year,Male,4/16/1973,California,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Painted Redstart,6 years 07 months,1/30/1975,Arizona,After Hatching Year,"Male, sexed upon recapture",1/3/1981,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Yellow-breasted Chat,11 years 11 months,7/2/2006,Arizona,After Second Year,Female,5/14/2016,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Yellow-breasted Chat,11 years 00 months,7/2/2006,Arizona,After Second Year,Female,6/13/2015,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Yellow-breasted Chat,8 years 11 months,8/6/2006,Colorado,Second Year,Male,5/6/2014,Colorado,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Bananaquit,8 years 07 months,1/5/2001,Puerto Rico,After Hatching Year,Unknown,1/11/2009,Puerto Rico,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Bananaquit,6 years 11 months,8/28/1990,Puerto Rico,Unknown,Unknown,5/27/1997,Puerto Rico,Captured for Scientific Purposes (not collected). Status changed.,Alive - Released/Left On Bird
Puerto Rican Tanager,4 years 00 months,12/19/1989,Puerto Rico,Unknown,Unknown,6/16/1993,Puerto Rico,Captured for Scientific Purposes (not collected). Status changed.,Alive - Released/Left On Bird
White-collared Seedeater,11 years 08 months,3/8/1965,Belize,After Hatching Year,Female,2/13/1976,Belize,Found dead or injured on highway.,Dead/Unknown
Black-faced Grassquit,4 years 01 months,11/15/2007,Puerto Rico,After Hatching Year,Female,7/5/2010,Puerto Rico,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Puerto Rican Bullfinch,15 years 07 months,1/6/1994,Puerto Rico,Second Year,Unknown,1/8/2009,Puerto Rico,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Olive Sparrow,8 years 03 months,4/12/1992,Texas,After Hatching Year,Unknown,9/28/1999,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Olive Sparrow,6 years 11 months,4/5/1999,Texas,After Hatching Year,Male,5/6/2005,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Green-tailed Towhee,7 years 08 months,9/16/1972,Arizona,Unknown,Unknown,2/17/1980,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Spotted Towhee,11 years 00 months,5/7/2001,California,After Second Year,Male,6/2/2010,California,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Spotted Towhee,10 years 00 months,7/18/2000,Oregon,Hatching Year,Unknown,6/5/2010,Oregon,Caught due to striking or being struck by: motor vehicle.,Dead/Removed
Spotted Towhee,8 years 08 months,12/6/1967,Washington,After Hatching Year,Male,2/4/1975,Washington,Found dead.,Dead/Unknown
Eastern Towhee,9 years 00 months,3/21/1937,South Carolina,Unknown,Unknown,3/3/1946,South Carolina,Previously banded bird trapped and released during banding operations,Unknown/Unknown
Rufous-crowned Sparrow,5 years 01 months,7/26/2005,New Mexico,After Hatching Year,Male,7/28/2009,New Mexico,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Rufous-crowned Sparrow,4 years 02 months,11/6/1939,New Mexico,After Hatching Year,Unknown,8/8/1942,New Mexico,Previously banded bird trapped and released during banding operations,Unknown/Unknown
Canyon Towhee,7 years 02 months,8/15/1992,Texas,After Hatching Year,Male,8/21/1998,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Canyon Towhee,6 years 10 months,3/24/1985,Arizona,After Second Year,Male,4/13/1990,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
California Towhee,12 years 10 months,7/12/1973,California,After Second Year,"Male, sexed upon recapture",4/25/1986,California,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
California Towhee,10 years 01 months,5/21/1972,California,After Hatching Year,Male,7/4/1981,California,Found dead.,Dead/Removed
Abert's Towhee,8 years 07 months,8/7/1939,Arizona,After Hatching Year,Unknown,1/24/1947,Arizona,Previously banded bird trapped and released during banding operations,Unknown/Unknown
Rufous-winged Sparrow,6 years 00 months,8/1/2009,Arizona,After Hatching Year,Male,6/16/2014,Alaska,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Bachman's Sparrow,3 years 11 months,7/25/2005,Texas,After Hatching Year,Male,5/30/2008,Texas,Captured for Scientific Purposes (not collected). Status changed.,Alive - Released/Left On Bird
American Tree Sparrow,10 years 09 months,1/29/1973,Connecticut,After Hatching Year,Unknown,3/31/1983,Connecticut,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Chipping Sparrow,10 years 11 months,9/10/1987,Ontario,Hatching Year,Unknown,5/13/1998,Ontario,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Chipping Sparrow,9 years 10 months,5/8/1997,New York,After Hatching Year,Male,4/20/2006,New York,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Chipping Sparrow,9 years 09 months,83/99/1929,Georgia,After Hatching Year,Unknown,3/8/1938,Georgia,Shot.,Dead/Unknown
Clay-colored Sparrow,6 years 11 months,5/23/1989,Alberta,After Hatching Year,Unknown,5/17/1995,Alberta,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Clay-colored Sparrow,5 years 01 months,7/30/1946,North Dakota,Juvenile,Unknown,7/20/1951,North Dakota,Previously banded bird trapped and released during banding operations,Unknown/Unknown
Brewer's Sparrow,5 years 02 months,8/4/1981,Colorado,After Hatching Year,Unknown,8/28/1985,Colorado,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Field Sparrow,10 years 04 months,4/5/1999,Maryland,After Second Year,Unknown,10/24/2007,Maryland,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Field Sparrow,8 years 09 months,11/17/1979,South Carolina,Hatching Year,Unknown,3/4/1988,South Carolina,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Field Sparrow,7 years 09 months,12/20/1972,North Carolina,Unknown,Unknown,3/1/1980,North Carolina,Found dead.,Dead/Removed
Vesper Sparrow,7 years 01 months,6/29/1980,Colorado,After Hatching Year,Male,7/24/1986,Colorado,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Lark Sparrow,9 years 01 months,7/1/2004,New Mexico,After Hatching Year,Male,7/11/2012,New Mexico,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Lark Sparrow,5 years 10 months,4/16/1988,California,After Hatching Year,Female,4/17/1993,California,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Black-throated Sparrow,6 years 00 months,3/15/1979,Arizona,After Hatching Year,"Female, sexed upon recapture",6/6/1984,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Black-throated Sparrow,4 years 07 months,2/21/1979,Arizona,After Hatching Year,Unknown,1/2/1983,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
San Clemente Bell's Sparrow,9 years 03 months,4/21/2001,California,Local,"Male, sexed upon recapture",7/7/2010,California,Previously banded bird trapped and released during banding operations,Alive - In Captivity/Unknown
Lark Bunting,4 years 10 months,12/13/1969,Arizona,After Hatching Year,Male,4/10/1973,Arizona,Found dead.,Dead/Unknown
Lark Bunting,4 years 00 months,6/23/1972,Colorado,After Hatching Year,Male,6/10/1975,Colorado,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Savannah Sparrow,6 years 10 months,5/9/1939,Michigan,After Hatching Year,Unknown,4/18/1945,Michigan,Previously banded bird trapped and released during banding operations,Unknown/Unknown
Grasshopper Sparrow,9 years 01 months,6/21/2000,Maryland,Local,Unknown,7/6/2009,Maryland,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Grasshopper Sparrow,7 years 01 months,6/8/1999,Maryland,After Hatching Year,Male,7/6/2005,Maryland,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
Grasshopper Sparrow,4 years 08 months,3/13/1999,Arizona,After Hatching Year,Unknown,2/7/2003,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Grasshopper Sparrow,3 years 01 months,9/16/1951,Nebraska,Hatching Year,Unknown,7/25/1954,Nebraska,Previously banded bird trapped and released during banding operations,Unknown/Unknown
Baird's Sparrow,4 years 07 months,1/27/1999,Arizona,After Hatching Year,Unknown,1/18/2003,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Henslow's Sparrow,6 years 06 months,12/10/1996,Louisiana,After Hatching Year,Unknown,12/12/2001,Louisiana,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Le Conte's Sparrow,4 years 01 months,8/5/2003,Michigan,Hatching Year,Unknown,7/9/2007,Michigan,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Nelson's Sparrow,9 years 01 months,8/6/2008,Maine,After Hatching Year,Male,7/22/2016,Maine,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Nelson's Sparrow,7 years 01 months,7/12/2001,Maine,After Hatching Year,Male,7/2/2007,Maine,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Saltmarsh Sparrow,9 years 02 months,7/15/2004,Connecticut,After Hatching Year,Male,8/1/2012,Connecticut,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Saltmarsh Sparrow,7 years 11 months,6/24/2004,Rhode Island,After Hatching Year,Male,5/26/2011,Rhode Island,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Saltmarsh Sparrow,5 years 02 months,7/16/2007,Rhode Island,After Hatching Year,Male,8/1/2011,Rhode Island,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Seaside Sparrow,10 years 00 months,3/24/2005,South Carolina,After Hatching Year,Male,6/20/2014,South Carolina,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Seaside Sparrow,8 years 11 months,5/21/1979,Florida,After Hatching Year,Unknown,5/30/1987,Florida,"Banding Mortality: due to trap, holding device, or handling.",Dead/Left On Bird
Seaside Sparrow,8 years 03 months,5/11/1972,Florida,After Hatching Year,Male,9/7/1979,Florida,Collected as Scientific Specimen or captured for a Scientific Study. (NOT FOR BANDING),Alive - In Captivity/Left On Bird
Fox Sparrow,10 years 04 months,9/29/1993,California,Hatching Year,Unknown,10/23/2003,California,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Fox Sparrow,9 years 08 months,12/4/1966,California,Hatching Year,Unknown,2/18/1976,California,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Song Sparrow,11 years 04 months,10/7/1963,Colorado,After Hatching Year,Unknown,10/18/1973,Colorado,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Lincoln's Sparrow,7 years 11 months,6/15/1995,Colorado,After Hatching Year,Male,5/17/2002,Colorado,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Lincoln's Sparrow,7 years 07 months,2/17/1977,Arizona,After Hatching Year,Unknown,1/5/1984,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Swamp Sparrow,7 years 10 months,10/22/2003,Maryland,Hatching Year,Unknown,4/12/2011,Maryland,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Swamp Sparrow,7 years 09 months,10/22/2003,Maryland,Hatching Year,Unknown,3/2/2011,Maryland,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Swamp Sparrow,5 years 11 months,5/7/2001,Minnesota,After Hatching Year,Unknown,5/17/2006,Minnesota,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Swamp Sparrow,5 years 04 months,3/19/1994,Texas,After Hatching Year,Unknown,10/25/1998,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Swamp Sparrow,4 years 10 months,7/31/1925,Minnesota,Hatching Year,Unknown,4/23/1930,Minnesota,Previously banded bird trapped and released during banding operations,Unknown/Unknown
White-throated Sparrow,14 years 11 months,9/11/1995,Alberta,Hatching Year,Unknown,5/17/2010,Alberta,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
White-throated Sparrow,9 years 11 months,7/16/1998,New York,Hatching Year,Unknown,05/99/2008,New York,"Sight record: identified by color band, marked plumage or marker other than standard, numbered metal band.",Alive - Released/Left On Bird
White-throated Sparrow,9 years 08 months,3/23/1961,Virginia,After Hatching Year,Unknown,2/21/1970,Virginia,Caught by or due to: cat,Dead/Unknown
White-throated Sparrow,8 years 04 months,11/7/1974,Virginia,Unknown,Unknown,10/10/1982,Massachusetts,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Harris's Sparrow,11 years 08 months,4/24/1972,Kansas,After Hatching Year,Unknown,2/1/1983,Kansas,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Gambel's White-crowned Sparrow,13 years 04 months,12/26/1929,California,Hatching Year,Unknown,10/21/1942,California,Shot.,Dead/Unknown
Golden-crowned Sparrow,10 years 06 months,12/21/1961,California,After Hatching Year,Unknown,12/16/1970,California,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
White-winged Junco,7 years 06 months,12/8/1981,South Dakota,Unknown,Unknown,12/9/1988,South Dakota,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Slate-colored Junco,11 years 04 months,8/13/1991,West Virginia,After Hatching Year,Unknown,10/5/2001,West Virginia,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Slate-colored Junco,10 years 09 months,4/7/1931,Massachusetts,After Hatching Year,Male,3/5/1941,South Carolina,Shot.,Dead/Unknown
Yellow-eyed Junco,6 years 07 months,3/27/1973,Arizona,After Hatching Year,Unknown,1/10/1979,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Summer Tanager,7 years 11 months,6/20/1979,Texas,After Hatching Year,Male,5/27/1986,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Summer Tanager,7 years 03 months,5/1/1982,Texas,After Second Year,Male,9/11/1987,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Summer Tanager,6 years 00 months,7/23/1979,Oklahoma,After Hatching Year,Male,6/10/1984,Oklahoma,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Scarlet Tanager,11 years 11 months,6/21/1990,Pennsylvania,Second Year,Male,5/22/2001,Texas,Found dead.,Dead/Removed
Scarlet Tanager,10 years 01 months,5/9/1970,West Virginia,After Second Year,Male,7/12/1978,West Virginia,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Western Tanager,6 years 11 months,5/25/1965,Nevada,After Hatching Year,Male,5/19/1971,Oregon,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Northern Cardinal,15 years 09 months,3/16/1956,Pennsylvania,After Hatching Year,Female,3/17/1971,Pennsylvania,Caught by hand.,Dead/Unknown
Northern Cardinal,15 years 08 months,7/26/1954,Virginia,Hatching Year,Female,2/23/1970,Virginia,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Pyrrhuloxia,8 years 01 months,2/25/1982,Arizona,After Hatching Year,Male,7/13/1989,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Pyrrhuloxia,5 years 09 months,9/28/1979,Arizona,Unknown,Male,3/7/1985,Arizona,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Rose-breasted Grosbeak,12 years 11 months,5/11/1976,Maryland,After Second Year,Male,5/5/1987,Maryland,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Rose-breasted Grosbeak,12 years 11 months,6/25/1972,Vermont,After Hatching Year,Male,5/13/1984,Vermont,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Rose-breasted Grosbeak,10 years 11 months,5/19/1956,New Jersey,After Hatching Year,Male,5/14/1966,New Jersey,Found dead.,Dead/Removed
Black-headed Grosbeak,11 years 11 months,6/5/1994,Montana,After Hatching Year,Male,5/31/2005,Montana,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Black-headed Grosbeak,9 years 01 months,6/6/1934,California,After Hatching Year,Male,7/19/1942,California,Miscellaneous. Method of recovery not covered by other codes.,Unknown/Unknown
Black-headed Grosbeak,8 years 01 months,7/19/1970,Colorado,After Hatching Year,Female,7/3/1977,Colorado,Found dead.,Dead/Removed
Blue Bunting,10 years 10 months,2/21/2002,Mexico,Second Year,Male,4/11/2012,Mexico,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Blue Grosbeak,7 years 02 months,9/1/1996,Virginia,After Hatching Year,Male,8/24/2002,Virginia,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Blue Grosbeak,6 years 01 months,9/2/2004,Maryland,Hatching Year,Unknown,7/27/2010,Maryland,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Blue Grosbeak,5 years 11 months,5/17/1952,Maryland,After Hatching Year,Male,5/7/1957,Maryland,Previously banded bird trapped and released during banding operations,Unknown/Unknown
Lazuli Bunting,9 years 11 months,5/26/1981,Idaho,Second Year,Male,5/14/1990,Idaho,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Lazuli Bunting,8 years 11 months,5/23/1975,Utah,After Second Year,Male,5/12/1982,Utah,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Lazuli Bunting,8 years 11 months,5/14/1974,Utah,After Hatching Year,Male,5/21/1982,Utah,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Lazuli Bunting,5 years 11 months,5/10/1979,Utah,After Hatching Year,Male,5/25/1984,Utah,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Lazuli Bunting,5 years 02 months,6/8/1995,California,After Hatching Year,Female,8/8/1999,Idaho,Previously banded bird trapped and released during banding operations,Alive - Released/Removed
Lazuli Bunting,4 years 11 months,5/23/1975,Arizona,After Hatching Year,Male,5/18/1979,Utah,Caught due to striking or being struck by: motor vehicle.,Dead/Unknown
Indigo Bunting,13 years 03 months,5/23/2001,Ohio,Second Year,Male,9/28/2013,Ohio,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Indigo Bunting,9 years 02 months,5/31/2000,Illinois,After Second Year,Female,8/26/2007,Illinois,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Indigo Bunting,8 years 03 months,8/28/2003,Michigan,Second Year,Male,9/29/2010,Michigan,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Indigo Bunting,8 years 01 months,6/26/2003,Maryland,Second Year,Male,7/21/2010,Maryland,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Indigo Bunting,8 years 00 months,8/30/1962,West Virginia,After Hatching Year,Male,6/7/1969,West Virginia,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Painted Bunting,11 years 00 months,7/24/1999,Texas,Hatching Year,Male,6/18/2010,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Painted Bunting,10 years 10 months,7/29/2000,Texas,After Hatching Year,Male,4/25/2011,Texas,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Painted Bunting,10 years 06 months,1/30/1966,Florida,Second Year,Female,12/18/1975,Florida,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Painted Bunting,8 years 11 months,5/23/1993,Georgia,After Second Year,Male,5/30/2000,Georgia,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Dickcissel,8 years 00 months,8/3/2005,Maryland,Local,Unknown,6/17/2013,Maryland,Previously banded bird trapped and released during banding operations,Alive - Released/Left On Bird
Dickcissel,4 years 10 months,8/3/2005,Maryland,Local,Unknown,6/28/2010,Maryland,Sight record: band read by telescope or other means while bird was free.,Alive - Released/Left On Bird
Dickcissel,4 years 00 months,6/5/1975,Kansas,After Hatching Year,Male,6/18/1978,Kansas,Caught due to striking or being struck by: motor vehicle.,Dead/Removed
